118 3406
12 28 7647
12 34 7385
12 35 5677
12 36 3654
12 37 49
12 41 8055
12 44 757
12 45 330
12 46 3823
12 48 4674
12 49 5564
12 51 8122
12 52 7871
12 54 9525
12 55 3748
12 56 647
12 58 7432
12 61 2534
12 64 9700
12 66 9957
12 68 722
12 71 3864
12 77 2266
12 78 5876
12 81 8392
12 82 3050
12 83 3993
12 90 6638
12 92 5688
12 93 2645
12 94 6651
12 95 1719
12 96 6648
12 97 34
12 99 8772
12 100 3040
12 103 5853
12 104 3413
12 107 9535
12 110 6837
12 112 9958
12 115 1535
12 117 3111
13 17 1859
13 18 4298
13 21 3020
13 22 7777
13 23 2475
13 24 8709
13 25 2165
13 26 2593
13 30 2596
13 33 732
13 35 6804
13 36 8698
13 40 1521
13 41 8434
13 42 7032
13 44 9241
13 45 8114
13 47 1268
13 50 6180
13 51 6109
13 52 4537
13 53 1593
13 55 8734
13 56 3092
13 57 2963
13 58 5807
13 60 6764
13 62 6074
13 64 8886
13 65 8497
13 66 4112
13 70 3953
13 71 6778
13 74 8201
13 75 3601
13 77 5843
13 78 5568
13 79 155
13 80 2298
13 82 210
13 83 9952
13 84 3919
13 86 3725
13 88 6679
13 89 3737
13 90 4491
13 92 8462
13 93 5661
13 94 8441
13 95 1249
13 96 2526
13 103 7195
13 104 2324
13 106 6829
13 107 918
13 108 3550
13 109 36
13 110 240
13 111 8106
13 112 1407
13 115 752
14 15 8466
14 17 353
14 20 2554
14 22 7447
14 23 9389
14 24 3172
14 26 4436
14 28 4931
14 31 8742
14 32 6755
14 35 3137
14 37 1630
14 40 3236
14 42 5581
14 43 6839
14 44 9812
14 46 2706
14 47 4610
14 49 2257
14 50 2829
14 52 3343
14 53 8540
14 55 1415
14 56 491
14 57 3142
14 59 8725
14 60 6813
14 61 4901
14 62 356
14 63 3102
14 65 379
14 67 9870
14 73 3183
14 77 2806
14 81 8655
14 83 743
14 85 9641
14 86 1916
14 87 8079
14 88 1466
14 89 7097
14 91 1834
14 93 1973
14 96 731
14 98 3440
14 101 7093
14 104 37
14 105 2567
14 107 7186
14 112 3124
14 114 171
14 115 1725
15 18 4709
15 19 9507
15 20 561
15 25 6867
15 26 6267
15 27 9930
15 28 6458
15 29 7960
15 30 7070
15 31 3891
15 32 1074
15 34 1490
15 36 2898
15 39 6373
15 41 1704
15 43 6963
15 47 2298
15 48 1926
15 50 2669
15 52 2883
15 53 5833
15 54 6323
15 56 9973
15 57 5898
15 60 1832
15 70 1893
15 72 2783
15 76 8571
15 77 6991
15 78 8201
15 82 5124
15 83 3512
15 84 1346
15 85 9781
15 87 8908
15 88 5183
15 91 9357
15 92 7285
15 93 666
15 94 7971
15 95 4128
15 96 1612
15 97 5185
15 98 9380
15 100 8249
15 101 2714
15 102 2490
15 103 1377
15 104 1797
15 105 2056
15 106 3084
15 109 8637
15 111 490
15 113 3665
15 115 5239
16 17 5037
16 18 2302
16 19 3012
16 22 2277
16 23 5782
16 24 4118
16 25 4666
16 28 3941
16 29 8735
16 30 7290
16 31 1278
16 33 8587
16 34 6226
16 35 5521
16 37 2095
16 40 6013
16 41 5207
16 44 9553
16 45 3093
16 47 9678
16 48 846
16 51 2235
16 52 9704
16 54 4173
16 56 9985
16 59 9427
16 60 5389
16 62 2053
16 63 189
16 65 7205
16 66 7625
16 68 10000
16 70 9222
16 75 8796
16 79 4368
16 80 5243
16 81 7856
16 83 4565
16 84 9082
16 85 4629
16 86 2973
16 88 7308
16 89 7515
16 90 884
16 92 3464
16 93 7023
16 96 4265
16 99 3609
16 100 3556
16 101 9367
16 102 6875
16 103 7183
16 104 8509
16 106 6187
16 107 2544
16 111 5064
16 112 2082
16 116 7635
17 18 9165
17 19 7258
17 20 9114
17 21 5958
17 22 5962
17 24 93
17 25 1326
17 28 1155
17 29 5420
17 30 2541
17 31 4857
17 33 7701
17 34 3668
17 35 4506
17 36 4684
17 37 4203
17 38 7682
17 41 4855
17 45 9137
17 47 1833
17 49 2799
17 51 500
17 54 923
17 55 949
17 58 4070
17 62 652
17 63 1542
17 66 7198
17 67 7891
17 68 4454
17 70 2080
17 72 5861
17 73 6112
17 75 1706
17 77 2612
17 78 4732
17 79 9997
17 80 5318
17 84 2195
17 87 9790
17 89 6841
17 91 286
17 96 5699
17 98 2043
17 99 846
17 100 5255
17 102 1802
17 106 2430
17 108 4920
17 111 7922
17 113 2640
17 117 3569
18 20 4585
18 21 4173
18 22 5762
18 23 4102
18 24 8586
18 25 6585
18 26 1704
18 30 9941
18 33 1203
18 34 1500
18 39 1313
18 45 6968
18 47 5180
18 54 1290
18 57 2213
18 59 6550
18 62 1816
18 64 4905
18 65 8438
18 67 6355
18 69 7184
18 71 1995
18 73 8018
18 79 5965
18 81 7669
18 83 431
18 85 4706
18 87 9288
18 91 4057
18 92 4936
18 93 7964
18 94 1635
18 95 4682
18 97 9713
18 100 3945
18 101 2489
18 103 9420
18 109 8750
18 110 3550
18 111 4013
18 117 5581
19 20 1509
19 21 314
19 22 7714
19 23 16
19 25 48
19 26 5706
19 27 7040
19 29 5811
19 31 4483
19 36 826
19 40 6956
19 41 2828
19 44 9432
19 46 2228
19 47 5353
19 48 5329
19 49 6320
19 51 6774
19 53 1042
19 60 8181
19 61 9059
19 62 2766
19 65 4764
19 67 7223
19 68 4768
19 69 3020
19 71 1537
19 72 383
19 75 6491
19 77 479
19 79 3469
19 83 5586
19 84 8059
19 86 2072
19 88 2643
19 90 5798
19 91 4818
19 92 1179
19 93 2577
19 94 6441
19 95 4288
19 98 232
19 100 6325
19 104 4146
19 105 8677
19 106 6344
19 107 6467
19 109 9509
19 112 6034
19 113 802
19 114 3747
19 116 1270
19 117 2513
20 24 7352
20 26 3544
20 31 7590
20 33 9347
20 34 1888
20 36 5358
20 38 2345
20 40 8088
20 43 2653
20 44 2755
20 48 6566
20 49 7297
20 51 967
20 54 6907
20 56 4670
20 57 3229
20 61 4272
20 64 8586
20 65 849
20 66 3717
20 67 9538
20 69 2823
20 71 6769
20 72 4154
20 76 3495
20 77 681
20 80 9239
20 81 4962
20 82 9585
20 85 5145
20 86 7951
20 87 5637
20 88 9334
20 89 203
20 92 107
20 93 6293
20 96 9916
20 97 1325
20 99 5286
20 100 3022
20 102 5826
20 103 2801
20 104 1484
20 105 9328
20 107 8188
20 111 2936
20 115 7159
20 117 5477
21 22 4823
21 23 6997
21 24 5579
21 25 7937
21 29 4395
21 34 2767
21 37 6474
21 41 3531
21 43 4958
21 44 1936
21 45 8992
21 48 1784
21 49 945
21 50 550
21 52 1984
21 53 6541
21 54 4262
21 55 9879
21 57 2781
21 58 2267
21 63 6073
21 65 7508
21 66 5344
21 67 5361
21 68 4319
21 69 4543
21 70 7113
21 71 9520
21 72 4141
21 73 9796
21 75 1511
21 77 9616
21 80 904
21 85 8228
21 88 7066
21 89 9974
21 92 1586
21 97 6152
21 99 5324
21 102 1921
21 105 6882
21 106 5749
21 109 2294
21 112 5903
21 114 9416
21 116 7461
22 23 7247
22 24 1860
22 25 3123
22 26 6294
22 27 8029
22 28 4445
22 29 8780
22 30 749
22 31 7480
22 32 761
22 34 304
22 35 3672
22 39 4571
22 41 9358
22 42 2792
22 43 3253
22 46 9727
22 47 7796
22 48 859
22 50 2978
22 53 5730
22 54 1912
22 57 8458
22 59 2441
22 60 5105
22 61 2759
22 63 2662
22 64 4669
22 67 2941
22 68 6728
22 69 7378
22 70 4027
22 71 5310
22 72 461
22 80 8204
22 81 1520
22 85 6076
22 86 4107
22 88 4027
22 94 1438
22 95 81
22 96 7632
22 100 768
22 101 7814
22 102 503
22 104 5041
22 107 9186
22 111 5555
22 112 2112
22 113 6550
22 114 2741
22 117 1196
23 25 4498
23 27 2583
23 28 7248
23 30 9647
23 31 633
23 32 36
23 33 4950
23 34 5652
23 36 7737
23 37 4408
23 38 7142
23 39 2311
23 40 4649
23 42 6939
23 44 4275
23 45 1913
23 48 1825
23 49 1934
23 51 5098
23 52 3341
23 54 8013
23 55 3877
23 57 8017
23 63 6809
23 64 1298
23 67 3329
23 69 9926
23 72 2032
23 74 1302
23 75 5629
23 76 6529
23 78 2628
23 79 6955
23 80 5810
23 84 163
23 85 3336
23 86 247
23 87 838
23 89 4836
23 96 9734
23 98 3622
23 99 5787
23 102 4264
23 103 2850
23 106 3059
23 110 6509
23 111 2492
23 112 3016
23 114 3724
23 116 2150
23 117 2308
24 26 5890
24 28 7534
24 30 8489
24 31 3236
24 32 3144
24 34 2929
24 35 5384
24 36 1356
24 37 2980
24 39 1151
24 41 3782
24 44 5891
24 46 3632
24 48 7539
24 52 4460
24 53 4938
24 54 5121
24 55 9741
24 57 7053
24 60 9910
24 61 4029
24 63 2588
24 64 5338
24 66 4504
24 67 2508
24 68 9169
24 69 3800
24 70 7210
24 75 1503
24 76 4392
24 84 1358
24 89 3485
24 90 9114
24 91 8417
24 93 8214
24 96 9499
24 97 4565
24 99 3745
24 100 5288
24 101 4072
24 103 6650
24 104 8994
24 105 3943
24 108 1890
24 110 444
24 111 2231
24 113 2067
24 116 7283
25 28 7986
25 29 341
25 31 9878
25 32 7304
25 33 9419
25 34 9991
25 35 8063
25 37 2771
25 42 6514
25 43 485
25 46 2117
25 47 8928
25 48 5850
25 50 9914
25 51 2702
25 52 9572
25 53 4098
25 54 7455
25 55 1173
25 56 5494
25 59 6891
25 61 2713
25 63 5033
25 64 8087
25 67 8541
25 68 1173
25 73 2550
25 74 3988
25 76 2137
25 77 5125
25 80 8969
25 82 7331
25 83 4000
25 84 6028
25 86 8940
25 89 3386
25 91 2827
25 93 3256
25 95 9240
25 99 9443
25 100 6827
25 102 4885
25 104 7515
25 106 6558
25 107 5434
25 108 782
25 110 6247
25 113 4434
25 115 6557
25 117 1379
26 28 8985
26 31 1089
26 33 1871
26 34 4083
26 35 3810
26 37 2873
26 39 9066
26 40 9578
26 42 8247
26 43 7966
26 44 7405
26 47 5589
26 49 7755
26 51 7501
26 53 6950
26 54 842
26 55 3431
26 56 6564
26 57 734
26 61 461
26 62 1196
26 63 663
26 65 8765
26 66 7467
26 67 1986
26 68 529
26 69 3289
26 71 878
26 72 6647
26 73 8510
26 74 6834
26 76 3679
26 78 3164
26 80 3095
26 82 9493
26 83 2223
26 85 3260
26 87 2939
26 88 4730
26 92 1540
26 94 9819
26 96 867
26 98 2162
26 100 5112
26 102 1538
26 104 9334
26 105 9823
26 109 216
26 112 2938
26 113 1133
26 117 2407
27 28 4665
27 30 4136
27 32 5398
27 33 4017
27 36 5823
27 39 2147
27 40 196
27 41 9102
27 43 7460
27 44 5024
27 46 8798
27 49 3743
27 51 3918
27 55 6459
27 58 5685
27 62 4125
27 63 4747
27 64 9191
27 65 1910
27 66 3358
27 69 428
27 71 1729
27 74 2060
27 76 1345
27 79 1507
27 83 8352
27 84 1163
27 86 7716
27 89 9911
27 93 1536
27 94 5101
27 95 5041
27 96 3430
27 103 3761
27 104 3940
27 105 1540
27 107 114
27 108 1569
27 110 1649
27 111 564
27 116 4484
27 117 351
28 30 5217
28 33 9130
28 34 297
28 35 5012
28 37 2815
28 38 3821
28 39 955
28 40 1825
28 42 4505
28 43 156
28 45 8216
28 46 7406
28 48 4666
28 50 2979
28 52 991
28 53 8837
28 58 7436
28 68 9808
28 70 1621
28 72 8838
28 73 7494
28 74 6019
28 75 6771
28 77 3164
28 79 9202
28 80 9603
28 83 3264
28 84 1547
28 85 4142
28 88 7179
28 89 9630
28 95 1723
28 97 4745
28 99 7963
28 100 8983
28 101 1389
28 102 7375
28 104 32
28 105 7215
28 106 9798
28 108 8360
28 111 6028
28 113 3755
28 114 6386
28 116 1414
28 117 9114
29 30 6604
29 31 4641
29 32 6306
29 34 4301
29 35 7161
29 36 8208
29 38 4492
29 41 7936
29 45 7793
29 46 8921
29 48 3014
29 51 7567
29 53 9457
29 54 8943
29 55 93
29 56 4760
29 58 1607
29 59 2530
29 63 9545
29 70 1472
29 72 1989
29 74 1197
29 76 1328
29 78 6855
29 79 4456
29 80 1067
29 82 3323
29 83 4284
29 85 7791
29 88 5609
29 89 4746
29 90 6447
29 91 5961
29 93 8197
29 94 9820
29 96 2317
29 100 8720
29 101 532
29 102 2426
29 103 5350
29 105 4504
29 107 5153
29 108 5752
29 109 3119
29 112 1437
29 116 9060
29 117 3679
30 31 5848
30 34 9721
30 36 3308
30 39 8850
30 44 6914
30 45 6646
30 47 129
30 48 6236
30 50 2811
30 51 3400
30 52 8249
30 55 7154
30 57 9648
30 58 7472
30 60 4946
30 62 1760
30 64 2850
30 69 8766
30 70 6388
30 74 5615
30 75 6342
30 76 7755
30 79 920
30 84 5869
30 90 6713
30 92 7329
30 95 9225
30 98 479
30 100 2481
30 102 7199
30 105 1440
30 108 9492
30 109 3707
30 112 9270
30 113 4190
30 114 6599
30 115 9884
30 116 2713
31 32 8245
31 38 3021
31 43 2500
31 45 1218
31 49 3397
31 50 4779
31 51 6710
31 52 9899
31 54 4164
31 55 141
31 56 8003
31 57 6735
31 65 2398
31 66 4594
31 67 6527
31 69 4586
31 70 7344
31 71 3106
31 77 4600
31 81 1493
31 83 4323
31 88 6044
31 91 8285
31 92 7705
31 93 2888
31 97 6149
31 100 5062
31 101 5588
31 102 1553
31 103 3902
31 104 7840
31 105 2655
31 106 20
31 112 5617
31 114 9609
31 115 4059
31 116 9660
32 33 9515
32 34 7589
32 35 9203
32 37 3496
32 40 8955
32 41 6215
32 42 6149
32 44 961
32 45 2687
32 48 8027
32 52 6140
32 56 5263
32 57 887
32 58 5570
32 59 8079
32 60 9456
32 61 2609
32 66 1972
32 67 6945
32 69 4493
32 71 1826
32 72 5026
32 76 4229
32 79 6301
32 81 9728
32 83 2866
32 85 3138
32 88 2832
32 89 1333
32 91 7095
32 94 4668
32 95 6357
32 96 2512
32 98 1176
32 99 3626
32 100 6309
32 101 3746
32 102 1572
32 104 2754
32 105 6016
32 106 2381
32 107 6819
32 111 2190
32 113 6880
32 114 1107
32 116 1778
33 37 4075
33 42 2739
33 43 1879
33 44 8064
33 45 1299
33 47 4270
33 48 1971
33 49 7311
33 50 3313
33 53 5087
33 54 6980
33 55 8599
33 56 5523
33 59 7071
33 60 8457
33 61 9969
33 66 8422
33 69 8433
33 70 8068
33 73 978
33 74 9498
33 75 5105
33 76 2315
33 77 2351
33 79 9383
33 80 9895
33 81 6580
33 82 315
33 84 616
33 85 8123
33 90 2633
33 91 6576
33 93 749
33 95 4474
33 97 875
33 98 6876
33 99 2361
33 100 4183
33 101 4346
33 105 1789
33 106 4134
33 109 2052
33 111 5858
33 112 4455
33 116 2704
34 35 6440
34 37 8802
34 38 3318
34 40 3139
34 44 522
34 47 8713
34 48 1464
34 50 395
34 54 6072
34 55 8702
34 56 6911
34 57 2254
34 58 5157
34 59 92
34 63 6990
34 64 6206
34 66 9570
34 67 9924
34 72 6294
34 73 8407
34 76 3690
34 77 8572
34 78 1289
34 79 5414
34 80 1455
34 81 3086
34 82 1171
34 85 2847
34 92 8754
34 94 6750
34 97 5587
34 103 3042
34 106 3199
34 107 8026
34 111 6253
34 112 2105
34 113 1754
34 114 3991
34 115 2499
34 117 2666
35 36 4831
35 39 8865
35 40 3082
35 41 671
35 44 8317
35 47 2135
35 48 3025
35 50 1934
35 51 9010
35 52 9599
35 54 64
35 56 5278
35 59 8647
35 60 9403
35 62 4012
35 64 7031
35 67 3428
35 71 8021
35 72 4808
35 73 2707
35 74 4618
35 75 441
35 77 6451
35 79 9256
35 83 5781
35 84 4427
35 86 9437
35 89 3840
35 91 9043
35 93 2749
35 95 7014
35 101 7952
35 104 8552
35 106 1
35 110 3368
35 112 5346
35 113 5315
35 114 769
35 116 8318
36 39 3207
36 42 7546
36 44 6255
36 49 4583
36 51 819
36 52 4328
36 54 8675
36 57 4992
36 58 64
36 59 4049
36 60 2108
36 61 2270
36 63 78
36 64 1123
36 65 1420
36 66 5913
36 70 5966
36 71 4239
36 73 3439
36 75 5871
36 77 5457
36 79 1144
36 80 3354
36 81 2247
36 82 1132
36 83 1873
36 84 2950
36 85 8124
36 87 6783
36 88 4939
36 89 6986
36 91 4570
36 92 8877
36 96 4234
36 97 9657
36 99 6334
36 100 822
36 101 6216
36 102 5515
36 108 1466
36 110 749
36 111 799
36 115 8655
37 43 2275
37 44 573
37 47 8275
37 50 7009
37 54 8143
37 59 2614
37 63 191
37 69 4974
37 71 2789
37 74 3826
37 78 4359
37 79 3547
37 83 5480
37 85 790
37 87 6064
37 88 2293
37 90 302
37 92 4925
37 95 6705
37 98 7391
37 100 4911
37 103 4537
37 104 3736
37 109 4585
37 111 6484
37 113 3690
37 114 419
37 115 6199
37 116 1506
38 39 3679
38 43 537
38 44 5973
38 47 5813
38 49 6020
38 50 1844
38 54 9983
38 57 9680
38 61 8180
38 63 2365
38 64 5732
38 65 9456
38 67 3490
38 69 4347
38 70 2346
38 72 8556
38 74 1004
38 76 7157
38 78 732
38 79 1532
38 80 5971
38 83 4875
38 84 8987
38 85 6597
38 86 8821
38 89 6915
38 90 447
38 92 9785
38 100 3000
38 102 2160
38 107 700
38 109 5319
38 110 6182
38 111 1722
38 112 1968
38 117 2579
39 40 5099
39 41 5156
39 44 2129
39 45 1477
39 47 4759
39 52 4321
39 53 162
39 54 4982
39 55 3477
39 60 5812
39 61 312
39 62 4077
39 63 5792
39 72 3368
39 73 4181
39 74 8712
39 76 3904
39 77 1238
39 79 3532
39 80 5587
39 81 1853
39 82 7347
39 87 5882
39 88 5623
39 90 1176
39 91 8654
39 93 9983
39 94 7844
39 95 3101
39 96 2255
39 100 1262
39 101 9368
39 104 9688
39 105 2853
39 108 9983
39 110 6084
39 112 1
39 113 4579
39 114 2963
39 115 9792
40 42 5267
40 43 463
40 44 8428
40 47 2716
40 49 5538
40 50 4911
40 52 7746
40 53 4020
40 54 3635
40 56 5869
40 57 458
40 58 3140
40 60 3227
40 61 5706
40 63 3110
40 64 5863
40 66 4287
40 68 4781
40 69 5010
40 71 8209
40 72 1999
40 74 4514
40 75 1742
40 76 7102
40 80 6439
40 82 5302
40 85 7431
40 87 913
40 88 7207
40 89 6429
40 92 4790
40 94 6785
40 97 7094
40 99 3511
40 100 6345
40 102 1151
40 103 1209
40 104 8662
40 109 8990
40 111 7937
40 113 9890
40 116 9117
41 42 8760
41 48 1235
41 50 6230
41 52 4053
41 54 9252
41 55 9898
41 59 7430
41 62 5726
41 64 5375
41 65 3105
41 72 5592
